time,cpu %,mem %
08:55:53,12.0,1.0
08:55:54,8.0,1.0
08:55:55,25.0,0.9
08:55:56,21.0,0.9
08:55:57,15.0,0.9
08:55:58,15.8,0.9
08:55:59,14.0,1.0
08:56:00,15.0,1.0
08:56:01,17.0,1.0
08:56:02,25.0,1.0
08:56:03,14.0,1.0
08:56:04,13.9,1.0
08:56:05,10.0,1.1
08:56:06,10.0,1.1
08:56:07,11.0,1.1
08:56:08,12.0,1.1
08:56:09,28.0,1.1
08:56:10,13.9,1.1
08:56:11,11.0,1.1
08:56:12,11.0,1.2
08:56:13,16.0,1.2
08:56:14,14.0,1.2
08:56:15,14.0,1.3
08:56:16,16.0,1.3
08:56:17,29.7,1.1
08:56:18,25.0,1.2
08:56:19,13.0,1.2
08:56:20,13.0,1.2
08:56:21,12.0,1.2
08:56:22,17.0,1.2
08:56:23,25.7,1.3
08:56:24,11.0,1.3
08:56:25,15.0,1.3
08:56:26,8.0,1.3
08:56:27,7.0,1.3
08:56:28,17.0,1.4
08:56:29,16.8,1.4
08:56:30,14.0,1.4
08:56:31,32.0,1.4
08:56:32,13.0,1.4
08:56:33,14.0,1.4
08:56:34,16.0,1.5
08:56:35,16.8,1.5
08:56:36,10.0,1.5
08:56:37,11.0,1.6
08:56:38,15.0,1.6
08:56:39,28.0,1.6
08:56:40,13.0,1.6
08:56:41,14.9,1.6
08:56:42,11.0,1.6
08:56:43,16.0,1.6
08:56:44,16.0,1.6
08:56:45,18.0,1.7
08:56:46,14.0,1.7
08:56:47,36.0,1.5
08:56:48,44.6,1.5
08:56:49,17.0,1.6
08:56:50,12.0,1.6
08:56:51,15.0,1.6
08:56:52,11.9,1.6
08:56:53,16.0,1.6
08:56:54,32.0,1.6
08:56:55,15.0,1.6
08:56:56,18.0,1.7
08:56:57,18.0,1.7
08:56:58,14.9,1.7
08:56:59,19.0,1.7
08:57:00,16.0,1.7
08:57:01,35.0,1.8
08:57:02,16.0,1.8
08:57:03,16.0,1.8
08:57:04,12.9,1.8
08:57:05,17.0,1.8
08:57:06,17.0,1.8
08:57:07,16.0,1.8
08:57:08,16.0,1.9
08:57:09,39.0,1.7
08:57:10,35.6,1.8
08:57:11,16.0,1.8
08:57:12,17.0,1.8
08:57:13,9.0,1.8
08:57:14,13.0,1.8
08:57:15,15.0,1.8
08:57:16,38.6,1.9
08:57:17,13.0,1.9
08:57:18,14.0,1.9
08:57:19,19.0,1.9
08:57:20,13.0,1.9
08:57:21,17.0,2.0
08:57:22,16.0,2.0
08:57:23,10.9,2.0
08:57:24,41.0,2.0
08:57:25,13.0,2.0
08:57:26,13.0,2.0
08:57:27,4.0,2.0
08:57:28,16.0,2.0
08:57:29,14.0,2.0
08:57:30,15.8,2.0
08:57:31,17.0,2.1
08:57:32,42.0,2.0
08:57:33,42.0,2.0
08:57:34,18.0,2.0
08:57:35,15.0,2.0
08:57:36,14.9,2.0
08:57:37,15.0,2.0
08:57:38,18.0,2.1
08:57:39,14.0,2.1
08:57:40,10.0,2.1
08:57:41,9.0,2.1
08:57:42,11.0,2.1
08:57:43,48.5,2.2
08:57:44,12.0,2.2
08:57:45,11.0,2.2
08:57:46,12.0,2.2
08:57:47,13.0,2.2
08:57:48,10.0,2.2
08:57:49,11.9,2.3
08:57:50,12.0,2.3
08:57:51,11.0,2.3
08:57:52,15.0,2.4
08:57:53,11.0,2.4
08:57:54,13.0,2.4
08:57:55,11.9,2.4
08:57:56,20.0,2.4
08:57:57,13.0,2.4
08:57:58,15.0,2.4
08:57:59,13.0,2.4
08:58:00,13.0,2.4
08:58:01,12.9,2.4
08:58:02,12.0,2.4
08:58:03,9.0,2.4
08:58:04,45.0,2.5
08:58:05,11.0,2.5
08:58:06,3.0,2.5
08:58:07,4.0,2.5
08:58:08,11.9,2.5
08:58:09,14.0,2.5
08:58:10,18.0,2.5
08:58:11,10.0,2.5
08:58:12,45.0,2.4
08:58:13,56.0,2.4
08:58:14,12.9,2.4
08:58:15,12.0,2.4
08:58:16,15.0,2.4
08:58:17,13.0,2.5
08:58:18,20.0,2.5
08:58:19,15.0,2.5
08:58:20,14.9,2.5
08:58:21,10.0,2.6
08:58:22,14.0,2.6
08:58:23,52.0,2.6
08:58:24,13.0,2.6
08:58:25,14.0,2.6
08:58:26,12.0,2.6
08:58:27,17.8,2.7
08:58:28,16.0,2.7
08:58:29,12.0,2.7
08:58:30,13.0,2.7
08:58:31,14.0,2.8
08:58:32,14.0,2.8
08:58:33,8.9,2.8
08:58:34,11.0,2.8
08:58:35,12.0,2.8
08:58:36,9.0,2.8
08:58:37,9.0,2.8
08:58:38,12.0,2.9
08:58:39,9.0,2.9
08:58:40,13.0,2.9
08:58:41,9.9,2.9
08:58:42,46.0,2.9
08:58:43,14.0,2.9
08:58:44,13.0,2.9
08:58:45,15.0,2.9
08:58:46,16.0,2.9
08:58:47,14.9,2.9
08:58:48,7.0,2.9
08:58:49,4.0,2.9
08:58:50,86.0,2.8
08:58:51,17.0,2.8
08:58:52,19.0,2.8
08:58:53,13.9,2.9
08:58:54,15.0,2.9
08:58:55,18.0,2.9
08:58:56,13.0,2.9
08:58:57,9.0,3.0
08:58:58,16.0,3.0
08:58:59,11.9,3.0
08:59:00,17.0,3.0
08:59:01,55.0,3.0
08:59:02,11.0,3.0
08:59:03,18.0,3.0
08:59:04,15.0,3.1
08:59:05,16.0,3.1
08:59:06,13.9,3.1
08:59:07,10.0,3.2
08:59:08,16.0,3.2
08:59:09,13.0,3.2
08:59:10,13.0,3.2
08:59:11,7.0,3.2
08:59:12,7.0,3.2
08:59:13,18.8,3.2
08:59:14,18.0,3.2
08:59:15,6.0,3.2
08:59:16,11.0,3.3
08:59:17,11.0,3.3
08:59:18,62.0,3.3
08:59:19,8.9,3.3
08:59:20,9.0,3.3
08:59:21,13.0,3.3
08:59:22,15.0,3.3
08:59:23,14.0,3.3
08:59:24,17.0,3.4
08:59:25,16.8,3.4
08:59:26,17.0,3.4
08:59:27,15.0,3.4
08:59:28,19.0,3.5
08:59:29,14.0,3.5
08:59:30,8.0,3.5
08:59:31,8.0,3.5
08:59:32,3.0,3.5
08:59:33,7.0,3.5
08:59:34,9.0,3.5
08:59:35,55.0,3.5
08:59:36,5.0,3.5
08:59:37,12.0,3.5
08:59:38,14.9,3.5
08:59:39,10.0,3.5
08:59:40,12.0,3.5
08:59:41,9.0,3.5
08:59:42,11.0,3.5
08:59:43,67.0,3.4
08:59:44,59.0,3.4
08:59:45,15.8,3.4
08:59:46,16.0,3.4
08:59:47,19.0,3.5
08:59:48,14.0,3.5
08:59:49,13.0,3.5
