time, cpu%, mem%
20:43:22,98,32.9
20:43:23,99,32.9
20:43:24,98,32.9
20:43:25,99,32.9
20:43:26,98,32.9
20:43:27,98,32.9
20:43:28,99,32.9
20:43:29,98,32.9
20:43:30,99,32.9
20:43:31,97,32.9
20:43:32,98,32.9
20:43:33,98,32.9
20:43:34,99,32.9
20:43:35,98,32.9
20:43:36,99,32.9
20:43:37,99,32.9
20:43:38,98,32.9
20:43:39,99,32.9
20:43:40,98,32.9
20:43:41,99,32.9
20:43:42,98,32.9
20:43:43,98,32.9
20:43:44,98,32.9
20:43:45,99,32.9
20:43:46,97,32.9
20:43:47,99,32.9
20:43:48,98,32.9
20:43:49,99,32.9
20:43:51,99,32.9
20:43:52,97,32.9
20:43:53,99,32.9
20:43:54,99,32.9
20:43:55,98,32.9
20:43:56,99,32.9
20:43:57,97,32.9
